"","X10490_3","X3040_59","X3415_61","ENSG00000116747.13","ENSG00000132530.17","ENSG00000133703.13","ENSG00000137628.18","ENSG00000155313.15","ENSG00000160710.18","ENSG00000173821.19","ENSG00000181381.14","ENSG00000185880.13"
"X10490_3",0,0.000375663137444126,0.000318017297315152,0.000280392483891878,0.000366509389179674,0.000447886000180224,0.000298398478041348,0.000422515791512399,0.000421696027835669,0.000405200667049317,0.000706114259589386,0.000285438946545628
"X3040_59",0.000375663137444126,0,0.000364329398992922,0.000321225373591002,0.000419883278716021,0.000513110571785336,0.000341853537788768,0.000487461538422134,0.00048310661613736,0.000464209075241943,0.000812943104349539,0.000327006740583311
"X3415_61",0.000318017297315152,0.000364329398992922,0,0.000271933056390593,0.000355451818865124,0.000434373301498806,0.000289395810578771,0.000409768510783485,0.000408973479336718,0.000392975782777105,0.000684810826973398,0.000276827267513329
"ENSG00000116747.13",0.000280392483891878,0.000321225373591002,0.000271933056390593,0,0.000313398105187688,0.00038298234080918,0.00025515722207925,0.000361288557349748,0.000360587586540886,0.000346482586867069,0.000603790455400407,0.000244075670733541
"ENSG00000132530.17",0.000366509389179674,0.000419883278716021,0.000355451818865124,0.000313398105187688,0,0.000500607654842493,0.000333523624852618,0.000472251062631631,0.000471334802753967,0.000452897736456485,0.000789232535514947,0.00031903859815538
"ENSG00000133703.13",0.000447886000180224,0.000513110571785336,0.000434373301498806,0.00038298234080918,0.000500607654842493,0,0.00040757635878086,0.000577105650680208,0.000575985952293624,0.000553455277438283,0.00096446697950921,0.000389875200607394
"ENSG00000137628.18",0.000298398478041348,0.000341853537788768,0.000289395810578771,0.00025515722207925,0.000333523624852618,0.00040757635878086,0,0.000384489463307051,0.00038374347818073,0.000368732696233152,0.000642564131700654,0.000259749504205308
"ENSG00000155313.15",0.000422515791512399,0.000487461538422134,0.000409768510783485,0.000361288557349748,0.000472251062631631,0.000577105650680208,0.000384489463307051,0,0.000543359605871665,0.000604795478438552,0.00104076565469283,0.000367790975626394
"ENSG00000160710.18",0.000421696027835669,0.00048310661613736,0.000408973479336718,0.000360587586540886,0.000471334802753967,0.000575985952293624,0.00038374347818073,0.000543359605871665,0,0.000521092179676299,0.000986935524740917,0.000400692613792001
"ENSG00000173821.19",0.000405200667049317,0.000464209075241943,0.000392975782777105,0.000346482586867069,0.000452897736456485,0.000553455277438283,0.000368732696233152,0.000604795478438552,0.000521092179676299,0,0.000963819201817328,0.000352718529466279
"ENSG00000181381.14",0.000706114259589386,0.000812943104349539,0.000684810826973398,0.000603790455400407,0.000789232535514947,0.00096446697950921,0.000642564131700654,0.00104076565469283,0.000986935524740917,0.000963819201817328,0,0.000655116503384544
"ENSG00000185880.13",0.000285438946545628,0.000327006740583311,0.000276827267513329,0.000244075670733541,0.00031903859815538,0.000389875200607394,0.000259749504205308,0.000367790975626394,0.000400692613792001,0.000352718529466279,0.000655116503384544,0
